AccountNum,Name,PledgeAmount,Duration,PaymentPeriod,LastTransactionDate,NextExpectedPayment,AccumulatedAmout,RemainingAmount,WeeksLeft,SignupDate,ThankyouLetterSentDate,NA,NotificationDate,TicketDate,TicketCategory,TicketResult
56,056,10800,3y,1m,2014/4/13,2014/5/30,1800.00,9000.00,6,11/20/13,11/21/13,1,,,,
57,057,10000,3y,1m,,2014/1/1,-,10000.00,-15,11/20/13,11/21/13,1,,2/3/14,FPR,
58,058,7200,3y,1m,2014/4/13,2014/5/30,300.00,6900.00,06,11/20/13,11/21/13,1,,2/3/14,FPR,2014/2/9부터 납부
59,059,10000,1m,1m,2013/12/22,완납,10000.00,-,완납,11/20/13,11/21/13,1,,,,
60,060,5000,3y,1m,2014/3/9,2014/4/30,600.00,4400.00,2,11/20/13,11/21/13,1,,,,
61,061,15000,3y,36m,2014/3/23,완납,15000.00,-,완납,11/27/13,12/2/13,5,,2/3/14,FPR,현재 완납
62,062,30000,3y,1m,2014/4/13,2014/5/30,1600.00,28400.00,6,11/27/13,12/2/13,5,,,,
63,063,5000,5y,12m,2013/12/22,2014/12/22,1000.00,4000.00,36,11/27/13,12/2/13,5,,,,
64,064,5000,3y,1m,,1900/1/1,-,5000.00,,11/27/13,12/2/13,5,,2/3/14,FPR,
65,065,10000,3y,12m,2013/12/29,2014/12/29,3333.00,6667.00,37,11/27/13,12/2/13,5,,,,
66,066,20000,5y,1m,2014/3/23,2014/4/30,1330.00,18670.00,2,11/27/13,12/2/13,5,,,,
67,067,2500,6y,1m,2013/12/15,2014/2/28,70.00,2430.00,-7,11/27/13,12/2/13,5,,4/10/14,OD,
68,068,10000,3y,6m,,2014/2/28,-,10000.00,-7,11/27/13,12/2/13,5,,,,
69,069,5000,3y,1m,2014/4/13,2014/5/30,430.00,4570.00,6,11/27/13,12/2/13,5,,,,
70,070,7000,5y,6m,2014/1/12,2014/7/12,700.00,6300.00,12,11/27/13,12/2/13,5,,,,
71,071,10000,3y,12m,2013/12/22,2014/12/22,3333.00,6667.00,36,11/27/13,12/2/13,5,,,,
72,072,3000,5y,1m,2014/1/19,2014/5/30,200.00,2800.00,6,11/27/13,12/2/13,5,,,,
73,073,10000,4y,12m,2014/1/19,2015/1/19,2500.00,7500.00,40,11/27/13,12/2/13,5,,,,
74,074,,,1m,,2015/6/30,-,-,63,11/27/13,12/2/13,5,,,,
75,075,15000,3y,3m,2014/3/16,2014/6/16,2500.00,12500.00,9,11/27/13,12/2/13,5,,,,
76,076,10000,3y,12m,2014/1/19,2015/1/19,3333.00,6667.00,40,11/27/13,12/2/13,5,,,,
77,077,5000,3y,1m,,2014/1/1,-,5000.00,-15,11/27/13,12/2/13,5,,2/3/14,FPR,
78,078,20000,,,2013/12/15,2014/12/15,5000.00,15000.00,35,11/27/13,12/2/13,5,,,,
79,079,30000,10y,,,1900/1/1,-,30000.00,,11/27/13,12/2/13,5,,2/3/14,FPR,
80,080,3000,3y,1m,2014/4/13,2014/5/30,400.00,2600.00,6,11/27/13,12/2/13,5,,,,
81,081,3000,6y,1m,2014/3/2,2014/4/30,300.00,2700.00,2,11/27/13,12/2/13,5,,,,
82,082,30000,5y,3m,,2014/1/1,-,30000.00,-15,11/27/13,12/2/13,5,,2/3/14,FPR,
83,083,5000,3y,,,1900/1/1,-,5000.00,,11/27/13,12/2/13,5,,2/3/14,FPR,
84,084,3000,3y,6m,2013/12/29,2014/12/29,1000.00,2000.00,37,11/27/13,12/2/13,5,,,,
85,085,3000,3y,12m,2014/1/5,2015/1/5,1000.00,2000.00,38,11/27/13,12/2/13,5,,,,
86,086,20000,10y,1m,2014/3/16,2014/4/30,504.00,19496.00,2,1/8/14,1/9/14,1,,,,
87,087,6000,3y,1m,2014/4/13,2014/5/30,830.00,5170.00,6,1/8/14,1/9/14,1,,,,
